,City,Avg Home Cost,Max Home Cost,Min Home Cost,Avg Bedrooms,Avg Bathrooms
0,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
1,Abilene,236850.0,625000.0,60000.0,3.3,3.3
2,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
3,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
4,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
5,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
6,Austin,476600.0,950000.0,250000.0,2.6,2.6
7,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
8,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
9,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
10,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
11,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
12,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
13,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
14,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
15,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
16,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
17,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
18,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
19,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
20,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
21,Abilene,236850.0,625000.0,60000.0,3.3,3.3
22,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
23,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
24,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
25,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
26,Austin,476600.0,950000.0,250000.0,2.6,2.6
27,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
28,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
29,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
30,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
31,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
32,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
33,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
34,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
35,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
36,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
37,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
38,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
39,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
40,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
41,Abilene,236850.0,625000.0,60000.0,3.3,3.3
42,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
43,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
44,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
45,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
46,Austin,476600.0,950000.0,250000.0,2.6,2.6
47,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
48,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
49,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
50,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
51,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
52,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
53,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
54,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
55,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
56,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
57,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
58,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
59,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
60,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
61,Abilene,236850.0,625000.0,60000.0,3.3,3.3
62,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
63,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
64,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
65,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
66,Austin,476600.0,950000.0,250000.0,2.6,2.6
67,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
68,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
69,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
70,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
71,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
72,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
73,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
74,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
75,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
76,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
77,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
78,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
79,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
80,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
81,Abilene,236850.0,625000.0,60000.0,3.3,3.3
82,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
83,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
84,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
85,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
86,Austin,476600.0,950000.0,250000.0,2.6,2.6
87,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
88,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
89,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
90,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
91,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
92,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
93,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
94,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
95,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
96,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
97,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
98,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
99,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
100,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
101,Abilene,236850.0,625000.0,60000.0,3.3,3.3
102,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
103,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
104,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
105,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
106,Austin,476600.0,950000.0,250000.0,2.6,2.6
107,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
108,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
109,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
110,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
111,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
112,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
113,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
114,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
115,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
116,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
117,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
118,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
119,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
120,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
121,Abilene,236850.0,625000.0,60000.0,3.3,3.3
122,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
123,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
124,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
125,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
126,Austin,476600.0,950000.0,250000.0,2.6,2.6
127,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
128,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
129,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
130,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
131,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
132,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
133,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
134,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
135,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
136,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
137,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
138,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
139,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
140,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
141,Abilene,236850.0,625000.0,60000.0,3.3,3.3
142,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
143,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
144,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
145,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
146,Austin,476600.0,950000.0,250000.0,2.6,2.6
147,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
148,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
149,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
150,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
151,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
152,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
153,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
154,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
155,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
156,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
157,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
158,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
159,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
160,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
161,Abilene,236850.0,625000.0,60000.0,3.3,3.3
162,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
163,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
164,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
165,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
166,Austin,476600.0,950000.0,250000.0,2.6,2.6
167,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
168,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
169,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
170,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
171,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
172,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
173,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
174,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
175,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
176,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
177,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
178,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
179,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
180,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
181,Abilene,236850.0,625000.0,60000.0,3.3,3.3
182,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
183,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
184,Round Rock,475247.5,550000.0,375000.0,3.75,3.75
185,Irving,758999.9230769231,3500000.0,235000.0,3.5384615384615383,3.5384615384615383
186,Austin,476600.0,950000.0,250000.0,2.6,2.6
187,San Marcos,379955.0,469900.0,324990.0,3.5,3.5
188,College Station,446800.0,1350000.0,145000.0,3.6363636363636362,3.6363636363636362
189,South Padre Island,437700.0,745000.0,239000.0,1.9,1.9
190,Bryan,303300.0,849500.0,49900.0,3.2222222222222223,3.2222222222222223
191,Lubbock,278825.0,649900.0,135000.0,3.4375,3.4375
192,Richardson,573216.6666666666,799000.0,398900.0,3.6666666666666665,3.6666666666666665
193,San Antonio,264878.5,425000.0,135000.0,3.357142857142857,3.357142857142857
194,Carrollton,556277.8571428572,1190000.0,360000.0,3.642857142857143,3.642857142857143
195,El Paso,271407.1176470588,650000.0,99900.0,3.2941176470588234,3.2941176470588234
196,Houston,486090.9090909091,1950000.0,1400.0,3.272727272727273,3.272727272727273
197,Dallas,441676.92307692306,980000.0,90000.0,3.076923076923077,3.076923076923077
198,Fredericksburg,1413183.3333333333,4975000.0,675000.0,3.4444444444444446,3.4444444444444446
199,Galveston,489478.4666666667,1290000.0,139500.0,2.933333333333333,2.933333333333333
200,Denton,433428.5714285714,729000.0,285000.0,3.857142857142857,3.857142857142857
201,Abilene,236850.0,625000.0,60000.0,3.3,3.3
202,Waco,345226.6666666667,935000.0,109000.0,3.1333333333333333,3.1333333333333333
203,Fort Worth,462490.0,1050000.0,219000.0,3.5,3.5
