,Cities,Bedrooms,Bathrooms,Living Space (SQ FT),Price,Zestimate
0,Denton,4.0,5.0,3677.0,749999.0,NaN
1,Denton,5.0,3.0,3173.0,729000.0,751546
2,Denton,3.0,2.0,1850.0,315000.0,319869
3,Denton,3.0,1.0,1604.0,285000.0,290916
4,Denton,5.0,4.0,3323.0,549000.0,561111
5,Argyle,4.0,3.0,2886.0,470990.0,NaN
6,Denton,5.0,3.0,2716.0,469390.0,NaN
7,Denton,4.0,3.0,2580.0,443340.0,NaN
8,Denton,4.0,2.0,1836.0,367990.0,NaN
9,Denton,4.0,4.0,2741.0,489900.0,NaN
10,Argyle,3.0,3.0,2087.0,400990.0,NaN
11,Shady Shores,3.0,2.0,1482.0,325000.0,332471
12,Denton,4.0,3.0,2323.0,390000.0,404368
13,Denton,4.0,3.0,2367.0,380000.0,389363
14,Denton,3.0,2.0,2010.0,393990.0,NaN
15,Denton,3.0,2.0,1971.0,386000.0,388969
16,Denton,4.0,2.0,1819.0,368990.0,NaN
17,Argyle,4.0,2.0,2529.0,430990.0,NaN
18,Denton,2.0,3.0,2178.0,685000.0,NaN
19,Little Elm,5.0,4.0,3371.0,724000.0,724007
20,Abilene,4.0,2.0,3025.0,625000.0,603932
21,Abilene,5.0,8.0,5581.0,1420000.0,NaN
22,Abilene,NaN,NaN,NaN,80900.0,NaN
23,Abilene,NaN,NaN,NaN,135900.0,NaN
24,Abilene,NaN,NaN,NaN,65900.0,NaN
25,Abilene,3.0,2.0,1562.0,274900.0,NaN
26,Abilene,4.0,3.0,2031.0,338000.0,NaN
27,Abilene,7.0,NaN,3720.0,225000.0,219881
28,Abilene,2.0,2.0,1236.0,200000.0,200000
29,Abilene,2.0,1.0,980.0,60000.0,81000
30,Abilene,4.0,2.0,1898.0,339900.0,334750
31,Abilene,3.0,2.0,1570.0,214000.0,211782
32,Abilene,3.0,1.0,1104.0,79900.0,88800
33,Abilene,3.0,2.0,1493.0,200000.0,196923
34,Abilene,3.0,2.0,1544.0,220000.0,NaN
35,Abilene,4.0,1.0,1116.0,74900.0,228800
36,Abilene,4.0,3.0,2631.0,499900.0,486859
37,Abilene,NaN,NaN,NaN,65000.0,NaN
38,Abilene,4.0,1.0,1104.0,74900.0,90300
39,Abilene,3.0,1.0,1620.0,145000.0,NaN
40,Waco,2.0,2.0,1318.0,214900.0,214901
41,Waco,3.0,2.0,1426.0,279500.0,270765
42,Waco,4.0,2.0,1667.0,305000.0,302287
43,Waco,3.0,1.0,1122.0,150000.0,131000
44,Waco,2.0,2.0,2234.0,408200.0,403150
45,Waco,3.0,1.0,1436.0,119900.0,100200
46,Waco,5.0,4.0,4301.0,935000.0,907967
47,Waco,3.0,1.0,1080.0,109000.0,97200
48,Waco,NaN,0.0,NaN,45000.0,NaN
49,China Spring,3.0,2.0,1501.0,266990.0,266990
50,Waco,3.0,2.0,1675.0,325000.0,319774
51,Waco,3.0,2.0,2142.0,280000.0,275227
52,China Spring,4.0,2.0,1665.0,280990.0,280990
53,Waco,3.0,2.0,1610.0,310000.0,304715
54,Waco,NaN,0.0,NaN,55000.0,NaN
55,Waco,4.0,3.0,3594.0,639900.0,617834
56,Waco,3.0,2.0,1352.0,290000.0,281600
57,Waco,3.0,2.0,1765.0,297000.0,288262
58,China Spring,3.0,2.0,1263.0,248990.0,248990
59,Waco,3.0,3.0,2368.0,515000.0,500694
60,Fort Worth,3.0,3.0,2415.0,875000.0,NaN
61,Fort Worth,3.0,3.0,1907.0,359950.0,NaN
62,Fort Worth,3.0,2.0,1772.0,369900.0,329200
63,Fort Worth,3.0,3.0,1907.0,359950.0,NaN
64,Fort Worth,4.0,3.0,1152.0,219000.0,210001
65,Fort Worth,NaN,NaN,NaN,50000.0,NaN
66,Fort Worth,3.0,2.0,1734.0,365000.0,369424
67,Fort Worth,4.0,3.0,2215.0,400000.0,402962
68,Fort Worth,4.0,4.0,3658.0,675000.0,678391
69,Fort Worth,3.0,4.0,3036.0,1050000.0,1050008
70,Fort Worth,3.0,2.0,1695.0,345000.0,NaN
71,Fort Worth,3.0,2.0,1423.0,250000.0,251851
72,Fort Worth,3.0,3.0,2655.0,350000.0,351002
73,Fort Worth,3.0,3.0,1999.0,369950.0,NaN
74,Fort Worth,3.0,2.0,1262.0,325000.0,NaN
75,Fort Worth,3.0,2.0,1820.0,549000.0,NaN
76,Fort Worth,3.0,3.0,1999.0,369950.0,NaN
77,Fort Worth,5.0,4.0,4019.0,645000.0,645005
78,Fort Worth,3.0,3.0,2383.0,420000.0,NaN
79,Fort Worth,3.0,2.0,1593.0,301000.0,301001
80,Round Rock,3.0,2.0,2018.0,470000.0,NaN
81,Round Rock,4.0,3.0,2465.0,495000.0,NaN
82,Round Rock,4.0,3.0,2640.0,498999.0,NaN
83,Hutto,3.0,2.0,1722.0,420000.0,NaN
84,Hutto,NaN,0.0,NaN,0.0,NaN
85,Round Rock,3.0,2.0,1802.0,364900.0,NaN
86,Round Rock,4.0,2.0,2093.0,409000.0,NaN
87,Hutto,4.0,3.0,2596.0,540000.0,540001
88,Round Rock,3.0,3.0,2317.0,495000.0,NaN
89,Round Rock,4.0,2.0,2151.0,550000.0,542372
90,Round Rock,4.0,4.0,2466.0,540990.0,534978
91,Round Rock,3.0,3.0,2252.0,465880.0,NaN
92,Round Rock,3.0,2.0,1735.0,398000.0,NaN
93,Round Rock,3.0,2.0,1172.0,375000.0,372532
94,Round Rock,4.0,3.0,2975.0,435000.0,435003
95,Round Rock,4.0,3.0,2168.0,516990.0,NaN
96,Round Rock,4.0,2.0,2426.0,510000.0,NaN
97,Georgetown,3.0,2.0,1577.0,99900.0,97300
98,Round Rock,3.0,2.0,1742.0,350000.0,NaN
99,Round Rock,2.0,2.0,1249.0,452000.0,NaN
100,Irving,5.0,3.0,2909.0,665000.0,NaN
101,Irving,3.0,3.0,2296.0,560000.0,560003
102,Irving,4.0,4.0,4145.0,1024000.0,1048380
103,Irving,NaN,NaN,NaN,645000.0,NaN
104,Irving,4.0,3.0,2750.0,610000.0,610005
105,Irving,4.0,3.0,1956.0,350000.0,350001
106,Irving,2.0,3.0,1772.0,425000.0,NaN
107,Irving,3.0,2.0,1264.0,395000.0,355801
108,Irving,4.0,4.0,2942.0,515000.0,515003
109,Irving,3.0,3.0,2456.0,3500000.0,3500000
110,Irving,NaN,NaN,NaN,209000.0,NaN
111,Irving,3.0,3.0,1600.0,235000.0,236068
112,Irving,4.0,3.0,2709.0,620000.0,620004
113,Irving,3.0,4.0,2678.0,595000.0,595002
114,Irving,4.0,3.0,2352.0,499000.0,499003
115,Grand Prairie,4.0,3.0,1741.0,330000.0,330001
116,Irving,4.0,4.0,3144.0,619999.0,620000
117,Irving,5.0,5.0,5508.0,1600000.0,NaN
118,Irving,2.0,3.0,1167.0,224000.0,NaN
119,Irving,3.0,2.0,1600.0,344000.0,344001
120,Austin,4.0,2.0,1671.0,499000.0,NaN
121,Austin,3.0,2.0,1768.0,448000.0,448004
122,Austin,2.0,1.0,1092.0,525000.0,NaN
123,Austin,2.0,2.0,1600.0,1196800.0,NaN
124,Austin,6.0,5.0,5867.0,3495000.0,NaN
125,Austin,3.0,2.0,1584.0,599000.0,NaN
126,Austin,3.0,1.0,1126.0,740000.0,NaN
127,Austin,0.0,0.0,NaN,625000.0,NaN
128,Austin,0.0,0.0,NaN,675000.0,NaN
129,Austin,3.0,2.0,2061.0,789000.0,NaN
130,Austin,NaN,0.0,4273.0,2750000.0,NaN
131,Austin,0.0,0.0,NaN,225000.0,NaN
132,Austin,3.0,2.0,1021.0,455000.0,NaN
133,Austin,2.0,2.0,942.0,346000.0,346001
134,Austin,5.0,5.0,3569.0,1999999.0,NaN
135,Austin,0.0,0.0,NaN,360000.0,NaN
136,Austin,2.0,1.0,1200.0,650000.0,NaN
137,Austin,4.0,4.0,2920.0,950000.0,958520
138,Austin,1.0,1.0,678.0,250000.0,250001
139,Austin,3.0,3.0,1605.0,389000.0,389003
140,New Braunfels,NaN,0.0,NaN,292000.0,NaN
141,San Marcos,4.0,3.0,2287.0,379990.0,374583
142,New Braunfels,3.0,3.0,2643.0,820000.0,NaN
143,New Braunfels,3.0,3.0,2847.0,855000.0,834763
144,New Braunfels,3.0,2.0,2004.0,715000.0,697666
145,San Marcos,4.0,4.0,2879.0,699000.0,NaN
146,San Marcos,NaN,0.0,NaN,95000.0,NaN
147,San Marcos,3.0,2.0,1578.0,375000.0,375001
148,San Marcos,3.0,2.0,1619.0,409900.0,406241
149,New Braunfels,4.0,3.0,2160.0,502627.0,NaN
150,San Marcos,3.0,3.0,1950.0,334990.0,330039
151,San Marcos,3.0,2.0,1566.0,324990.0,319790
152,San Marcos,3.0,2.0,1358.0,351900.0,346269
153,San Marcos,4.0,3.0,3880.0,975000.0,NaN
154,San Marcos,4.0,3.0,2392.0,469900.0,468304
155,San Marcos,3.0,2.0,1957.0,430000.0,NaN
156,San Marcos,5.0,4.0,2370.0,439900.0,433704
157,San Marcos,3.0,2.0,2038.0,337990.0,332790
158,San Marcos,4.0,3.0,2372.0,374990.0,371984
159,San Marcos,0.0,0.0,NaN,925000.0,NaN
160,College Station,4.0,3.0,3031.0,575000.0,514900
161,College Station,3.0,2.0,1198.0,225000.0,223000
162,College Station,5.0,5.0,2150.0,533900.0,526966
163,College Station,NaN,NaN,NaN,94900.0,NaN
164,College Station,3.0,3.0,1261.0,294900.0,249500
165,College Station,3.0,1.0,1084.0,145000.0,121600
166,College Station,4.0,5.0,5430.0,1350000.0,1280172
167,College Station,NaN,0.0,NaN,1496250.0,NaN
168,College Station,NaN,NaN,NaN,275000.0,NaN
169,College Station,NaN,0.0,1552.0,230000.0,NaN
170,College Station,4.0,3.0,3070.0,575000.0,575000
171,College Station,4.0,3.0,1584.0,255000.0,271600
172,College Station,4.0,2.0,2145.0,439000.0,436447
173,College Station,4.0,3.0,1911.0,359900.0,NaN
174,College Station,3.0,2.0,1242.0,250000.0,223300
175,College Station,3.0,2.0,1868.0,349400.0,NaN
176,College Station,3.0,2.0,1550.0,317900.0,NaN
177,College Station,3.0,3.0,2285.0,611900.0,NaN
178,College Station,NaN,NaN,NaN,94900.0,NaN
179,College Station,3.0,2.0,1270.0,272000.0,269823
180,South Padre Island,2.0,2.0,837.0,550000.0,539000
181,South Padre Island,6.0,6.0,4268.0,1580000.0,NaN
182,South Padre Island,4.0,3.0,2316.0,1075000.0,NaN
183,South Padre Island,2.0,2.0,837.0,550000.0,537777
184,South Padre Island,3.0,3.0,1758.0,962200.0,NaN
185,South Padre Island,1.0,1.0,680.0,215000.0,NaN
186,South Padre Island,1.0,1.0,680.0,215000.0,NaN
187,South Padre Island,3.0,2.0,1474.0,850000.0,NaN
188,South Padre Island,2.0,2.0,992.0,325000.0,NaN
189,South Padre Island,3.0,2.0,1468.0,799000.0,NaN
190,South Padre Island,1.0,1.0,680.0,239000.0,226900
191,South Padre Island,3.0,3.0,1946.0,995000.0,NaN
192,South Padre Island,2.0,2.0,1039.0,438000.0,429823
193,South Padre Island,3.0,3.0,1522.0,395000.0,381700
194,South Padre Island,2.0,2.0,1750.0,745000.0,724700
195,South Padre Island,2.0,2.0,1174.0,480000.0,469333
196,South Padre Island,2.0,3.0,1270.0,390000.0,NaN
197,South Padre Island,2.0,2.0,1126.0,385000.0,376551
198,South Padre Island,2.0,2.0,850.0,325000.0,308500
199,South Padre Island,1.0,1.0,781.0,270000.0,258749
200,Hearne,3.0,2.0,1292.0,150000.0,105300
201,Bryan,NaN,NaN,NaN,45000.0,NaN
202,Bryan,3.0,1.0,1105.0,189900.0,189900
203,Bryan,NaN,NaN,NaN,28000.0,NaN
204,Bryan,NaN,NaN,NaN,42500.0,NaN
205,Bryan,4.0,4.0,3030.0,715000.0,NaN
206,Bryan,NaN,NaN,2762.0,525000.0,204800
207,Bryan,3.0,2.0,1200.0,155000.0,153600
208,Bryan,4.0,3.0,1833.0,344600.0,NaN
209,Bryan,3.0,2.0,1350.0,245000.0,NaN
210,Bryan,3.0,2.0,1032.0,169000.0,165828
211,Bryan,2.0,1.0,792.0,49900.0,77300
212,Bryan,3.0,3.0,1595.0,315900.0,NaN
213,Bryan,4.0,2.0,2134.0,349000.0,329900
214,Bryan,4.0,3.0,2524.0,378900.0,353100
215,Bryan,4.0,3.0,1996.0,399000.0,NaN
216,Bryan,3.0,2.0,1374.0,260000.0,258488
217,Bryan,3.0,2.0,1841.0,298900.0,NaN
218,Bryan,4.0,2.0,2134.0,849500.0,516100
219,Bryan,3.0,2.0,1620.0,328500.0,328500
220,Lubbock,3.0,2.0,1529.0,225000.0,221785
221,Lubbock,4.0,2.0,2393.0,250000.0,238541
222,Lubbock,3.0,2.0,2102.0,235000.0,225599
223,Lubbock,3.0,2.0,1680.0,145000.0,145000
224,Lubbock,4.0,3.0,3064.0,565000.0,514200
225,Lubbock,4.0,3.0,2200.0,402000.0,392104
226,Lubbock,3.0,2.0,1454.0,219900.0,216758
227,Lubbock,3.0,2.0,1647.0,256000.0,NaN
228,Lubbock,3.0,2.0,1681.0,261000.0,NaN
229,Lubbock,3.0,2.0,1647.0,256000.0,NaN
230,Lubbock,3.0,2.0,1977.0,261950.0,259213
231,Lubbock,4.0,3.0,3221.0,649900.0,628446
232,Lubbock,3.0,1.0,1384.0,135000.0,132855
233,Lubbock,4.0,2.0,1737.0,155000.0,155000
234,Lubbock,3.0,2.0,1750.0,197500.0,194419
235,Lubbock,3.0,2.0,2108.0,245000.0,238422
236,Lubbock,4.0,3.0,2722.0,289950.0,278351
237,Lubbock,3.0,2.0,1979.0,190000.0,186995
238,Lubbock,4.0,3.0,3065.0,295000.0,279999
239,Lubbock,3.0,2.0,1467.0,199500.0,NaN
240,Richardson,4.0,3.0,2295.0,615000.0,NaN
241,Richardson,3.0,2.0,1288.0,398900.0,399044
242,Richardson,4.0,3.0,2414.0,524900.0,530150
243,Richardson,3.0,3.0,2953.0,719000.0,719003
244,Richardson,3.0,3.0,2915.0,745000.0,745001
245,Richardson,2.0,1.0,936.0,275000.0,NaN
246,Richardson,2.0,3.0,1644.0,289900.0,NaN
247,Richardson,4.0,4.0,3360.0,738900.0,738905
248,Richardson,3.0,2.0,2095.0,464000.0,469318
249,Richardson,5.0,4.0,3775.0,699000.0,NaN
250,Richardson,4.0,2.0,1974.0,469000.0,469003
251,Richardson,1.0,2.0,809.0,184900.0,NaN
252,Richardson,3.0,3.0,1986.0,531500.0,NaN
253,Richardson,4.0,2.0,2019.0,445000.0,450279
254,Richardson,4.0,3.0,3363.0,799000.0,799002
255,Richardson,4.0,4.0,2939.0,830000.0,NaN
256,Richardson,4.0,3.0,1909.0,415000.0,415001
257,Richardson,4.0,3.0,2100.0,549900.0,549900
258,Richardson,4.0,3.0,2293.0,610000.0,610001
259,Richardson,5.0,3.0,1762.0,399000.0,NaN
260,San Antonio,2.0,2.0,1261.0,193000.0,NaN
261,San Antonio,4.0,2.0,1804.0,252500.0,247006
262,San Antonio,NaN,NaN,NaN,275000.0,NaN
263,San Antonio,4.0,2.0,2247.0,375000.0,369932
264,San Antonio,3.0,2.0,1682.0,200000.0,191999
265,Helotes,4.0,4.0,3126.0,499999.0,499999
266,San Antonio,2.0,2.0,1027.0,115500.0,NaN
267,San Antonio,3.0,2.0,1266.0,265000.0,260305
268,San Antonio,3.0,2.0,1734.0,180000.0,248700
269,Helotes,NaN,NaN,NaN,299999.0,NaN
270,San Antonio,3.0,2.0,2115.0,289000.0,284781
271,San Antonio,4.0,4.0,2522.0,389990.0,NaN
272,San Antonio,4.0,2.0,1590.0,425000.0,425000
273,San Antonio,3.0,2.0,1164.0,248999.0,242389
274,San Antonio,3.0,2.0,1609.0,289900.0,288549
275,San Antonio,3.0,2.0,1648.0,309000.0,297154
276,San Antonio,3.0,3.0,1501.0,230000.0,227278
277,San Antonio,5.0,2.0,1435.0,248900.0,243409
278,San Antonio,4.0,3.0,2130.0,260000.0,255275
279,San Antonio,2.0,1.0,816.0,135000.0,135000
280,Carrollton,4.0,3.0,1947.0,449000.0,463825
281,Carrollton,4.0,3.0,2738.0,549990.0,566004
282,Carrollton,3.0,3.0,2611.0,695000.0,615100
283,Carrollton,4.0,3.0,3709.0,625000.0,NaN
284,Carrollton,3.0,3.0,1817.0,470000.0,481557
285,Carrollton,4.0,3.0,2780.0,535000.0,552445
286,Carrollton,4.0,3.0,2659.0,508900.0,NaN
287,Carrollton,3.0,2.0,1900.0,374900.0,387400
288,Carrollton,3.0,3.0,2287.0,535000.0,538165
289,Carrollton,3.0,2.0,1464.0,360000.0,360002
290,Carrollton,5.0,4.0,2992.0,579000.0,595859
291,Carrollton,3.0,2.0,1764.0,399000.0,NaN
292,Carrollton,5.0,5.0,4450.0,1190000.0,1224649
293,Carrollton,3.0,3.0,2001.0,485000.0,496565
294,Carrollton,3.0,2.0,1994.0,450000.0,465882
295,Aubrey,3.0,2.0,1606.0,350000.0,354677
296,Carrollton,2.0,2.0,1540.0,400000.0,NaN
297,Carrollton,4.0,2.0,2496.0,520000.0,526501
298,Carrollton,4.0,4.0,3353.0,595000.0,621444
299,Carrollton,4.0,3.0,2634.0,450000.0,NaN
300,El Paso,3.0,3.0,1942.0,255000.0,255001
301,El Paso,3.0,2.0,2344.0,320000.0,320001
302,El Paso,4.0,3.0,1959.0,260000.0,260000
303,El Paso,NaN,0.0,NaN,1200000.0,NaN
304,El Paso,4.0,3.0,2116.0,399888.0,399888
305,El Paso,5.0,4.0,2782.0,315000.0,310944
306,El Paso,3.0,2.0,1241.0,210000.0,210001
307,El Paso,4.0,2.0,1715.0,250000.0,250000
308,El Paso,4.0,3.0,3307.0,829950.0,NaN
309,El Paso,3.0,1.0,1100.0,152000.0,NaN
310,El Paso,2.0,1.0,1152.0,99900.0,108100
311,El Paso,3.0,2.0,1554.0,255770.0,253274
312,El Paso,5.0,4.0,2860.0,430000.0,426682
313,El Paso,3.0,3.0,1647.0,264900.0,261773
314,El Paso,4.0,3.0,1752.0,276600.0,276600
315,El Paso,4.0,4.0,3376.0,650000.0,639517
316,El Paso,2.0,1.0,1197.0,109000.0,129200
317,El Paso,2.0,2.0,1611.0,199950.0,199950
318,El Paso,3.0,2.0,1616.0,167963.0,167963
319,El Paso,2.0,1.0,917.0,149950.0,149950
320,Houston,NaN,0.0,3206.0,1300.0,1085900
321,Houston,4.0,4.0,4046.0,1950000.0,1629200
322,Houston,4.0,4.0,4120.0,980000.0,980006
323,Houston,NaN,0.0,3206.0,1300.0,385700
324,Houston,3.0,2.0,1692.0,595000.0,598742
325,Houston,3.0,2.0,1575.0,235000.0,235001
326,Houston,4.0,3.0,2237.0,305500.0,NaN
327,Houston,4.0,3.0,2748.0,499900.0,NaN
328,Houston,NaN,0.0,NaN,250000.0,NaN
329,Houston,2.0,1.0,1050.0,1400.0,126400
330,Huffman,4.0,3.0,2406.0,281990.0,NaN
