,City,Studio Occupancy Rate,One Bedroom Occupancy Rate,Two Bedroom Occupancy Rate,Three Bedroom Occupancy Rate,Four Bedroom Occupancy Rate
0,Denton,81,61,60,50,60
1,Abilene,69,52,50,46,54
2,Waco,51,51,50,49,60
3,Fort Worth,60,52,50,51,53
4,Round Rock,42,62,56,48,49
5,Irving,62,52,45,48,49
6,Austin,52,54,48,46,44
7,San Marcos,41,45,48,47,42
8,College Station,53,49,45,44,38
9,South Padre Island,43,43,53,41,34
10,Bryan,51,45,45,35,37
11,Lubbock,55,46,46,39,45
12,Richardson,19,48,46,41,41
13,San Antonio,39,43,36,38,46
14,Carrollton,56,30,39,46,44
15,El Paso,35,35,29,36,41
16,Houston,37,36,32,32,36
17,Dallas,42,38,36,39,40
18,Fredericksburg,29,31,25,28,27
19,Galveston,34,27,30,26,26
