,City,State,Occupancy %,Total Airbnb Listing,Total Rental Listings
0,Denton,TX,61,451,27511
1,Abilene,TX,53,743,39379
2,Waco,TX,52,2752,143104
3,Fort Worth,TX,51,14972,763572
4,Round Rock,TX,51,614,31314
5,Irving,TX,49,918,44982
6,Austin,TX,47,16884,793548
7,San Marcos,TX,47,1356,63732
8,College Station,TX,43,589,25327
9,South Padre Island,TX,43,902,38786
10,Bryan,TX,42,2057,86394
11,Lubbock,TX,41,5161,211601
12,Richardson,TX,38,3387,128706
13,San Antonio,TX,37,35115,1299255
14,Carrollton,TX,35,2040,71400
15,El Paso,TX,32,6519,208608
16,Houston,TX,30,20633,618990
17,Dallas,TX,28,10621,297388
18,Fredericksburg,TX,28,1037,29036
19,Galveston,TX,27,1716,46332
